Cluster,hair,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathes,venomous,fins,legs,tail,domestic,catsize,class_type
0,0.0,0.0,0.9285714285714286,0.0,0.0,1.0,0.7142857142857143,1.0,1.0,0.0,0.14285714285714285,0.9285714285714286,0.0,1.0,0.07142857142857142,0.2857142857142857,3.9285714285714284
1,0.9393939393939394,0.0,0.030303030303030304,1.0,0.06060606060606061,0.18181818181818182,0.6060606060606061,0.9696969696969697,1.0,1.0,0.0,0.12121212121212122,3.272727272727273,0.8787878787878788,0.0,0.7878787878787878,1.0
2,0.4,0.0,1.0,0.0,0.6,0.0,0.1,0.0,0.0,1.0,0.2,0.0,4.8,0.0,0.1,0.0,6.2
3,0.0,0.0,1.0,0.0,0.0,0.8571428571428571,1.0,0.0,0.0,0.0,0.14285714285714285,0.0,4.142857142857143,0.0,0.0,0.14285714285714285,7.0
4,0.0,1.0,1.0,0.0,0.8,0.3,0.45,0.0,1.0,1.0,0.0,0.0,2.0,1.0,0.15,0.3,2.0
5,1.0,0.0,0.0,1.0,0.0,0.0,0.25,1.0,1.0,1.0,0.0,0.0,3.75,0.75,1.0,0.75,1.0
6,0.0,0.0,0.8888888888888888,0.0,0.0,0.4444444444444444,0.7777777777777778,0.7777777777777778,0.8888888888888888,1.0,0.3333333333333333,0.0,3.5555555555555554,0.6666666666666666,0.0,0.1111111111111111,4.333333333333333
